,InstrumentTicker,InstrumentLongName,bicsSector,bicsIndustry,bicsSubIndustry,Momentum,Size,Quality,Value,Volatility,Yield
30,FIS,FIDELITY NATL INFORM COM,Financials,Specialty Finance,Consumer Finance,-0.25526422398117343,-1.5316774859075044,-1.7319377981312454,-0.15442562262703546,-0.7311735106091631,0.3012773207738859
32,V,VISA INC COM CL A,Financials,Specialty Finance,Consumer Finance,-0.24333385345393313,7.155737657748304,0.6293422311384137,-0.46011855004364166,-0.042857804376612914,-0.11940969660777648
35,EOG,EOG RES INC COM,Energy,"Oil, Gas & Coal",Exploration & Production,-1.633373987351385,0.24365287517786186,0.7022606401339657,0.01732737405150718,0.23134310352040227,0.19038482068039336
39,DHR,DANAHER CORP DEL COM,Health Care,Medical Equipment & Devices,Life Science Equipment,0.07465028899877843,-0.20601714517087275,-0.8062405970102461,0.4018474861131991,-0.08291756054894256,0.07389437630166136
41,COST,COSTCO WHSL CORP NEW COM,Consumer Staples,Retail - Consumer Staples,Mass Merchants,-0.4292090262683368,0.8046729537187723,-0.0335619676916042,0.4427206384910161,-0.172322948365317,0.04821333830332225
42,CGNX,COGNEX CORP COM,Industrials,Electrical Equipment,Electrical Components,0.8279869079577403,-0.11409117543168723,0.21509859118841265,3.064239377555538,2.302140117330216,-1.1929687179853468
43,PLD,PROLOGIS INC,Financials,Real Estate,REIT,1.4063326750428082,0.7247639350364213,-0.4730595006078081,0.9525374756568497,0.7042754515702631,-1.9252991015032777
44,LMT,LOCKHEED MARTIN CORP COM,Industrials,Aerospace & Defense,Defense Primes,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
45,GPN,GLOBAL PMTS INC COM,Financials,Specialty Finance,Consumer Finance,-0.6187428460444279,-2.571560919234144,-1.3680743658164367,-0.6533007100436736,1.487002248771639,-0.31045128266189503
47,TMO,THERMO FISHER SCIENT COM,Health Care,Medical Equipment & Devices,Life Science Equipment,-0.05658378680086555,0.1565480993152109,0.8235626384720305,-0.3629134439658543,0.033048142881292326,-0.10425903233132962
49,HRL,HORMEL FOODS CORP COM,Consumer Staples,Consumer Products,Packaged Food,0.7736705821406655,0.03818069104630816,-0.5115463765461514,-0.5980346875935699,-1.5936990482179607,0.1908053382053094
52,ATVI,ACTIVISION BLIZZARD COM,Technology,Software,Application Software,1.9217699058787567,0.27984929831082445,-0.4183952451090975,0.09681119680526555,-0.6644900933516444,-0.3359217550460791
53,SWKS,SKYWORKS SOLUTIONS I COM,Technology,Semiconductors,Semiconductor Devices,0.165569654391791,-1.0158949665478294,0.22747717331968523,-1.038804170873246,0.463496169762257,-0.6833235144310197
54,AVGO,BROADCOM INC,Technology,Semiconductors,Semiconductor Devices,-0.6973938137452594,0.7511853419919566,-0.2817965823615725,0.06095099071387783,-0.8680095007161377,2.5146660127140863
56,UNP,UNION PAC CORP COM,Industrials,Transportation & Logistics,Rail Freight,-0.09973196020771768,0.8957838449609283,0.3503980577911611,0.05851423579698008,-0.05596099141341701,0.6684647718439182
57,BDX,BECTON DICKINSON & C COM,Health Care,Medical Equipment & Devices,Medical Equipment,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
60,PXD,PIONEER NAT RES CO COM,Energy,"Oil, Gas & Coal",Exploration & Production,1.077603875455184,0.0427630060611242,2.0337707533542964,0.0891559161643721,0.23570091225237713,-0.8069359534386086
64,UPS,UNITED PARCEL SERVIC CL B,Industrials,Transportation & Logistics,Courier Services,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
